Coor X,Coor Y,Floor,Ref Label,CURRENT TIME NANOSECONDS,CURRENT TIME STRING,24:0A:C4:00:98:A0(ESP-BLE-HELLO),7A:7F:D2:59:E2:71(null)
1.0,1.0,1.0,2,64172130743330,2017-11-03T15:24:23.838,-82,NaN
1.0,1.0,1.0,2,64172631611819,2017-11-03T15:24:24.339,-82,NaN
1.0,1.0,1.0,2,64172808865830,2017-11-03T15:24:24.516,-70,NaN
1.0,1.0,1.0,2,64173445022600,2017-11-03T15:24:25.153,-68,NaN
1.0,1.0,1.0,2,64173782594736,2017-11-03T15:24:25.490,-68,NaN
1.0,1.0,1.0,2,64174103849944,2017-11-03T15:24:25.811,-68,NaN
1.0,1.0,1.0,2,64174282379892,2017-11-03T15:24:25.990,-88,NaN
1.0,1.0,1.0,2,64174443089579,2017-11-03T15:24:26.150,-68,NaN
1.0,1.0,1.0,2,64174943615412,2017-11-03T15:24:26.651,-68,NaN
1.0,1.0,1.0,2,64175284048641,2017-11-03T15:24:26.992,-87,NaN
1.0,1.0,1.0,2,64175600823224,2017-11-03T15:24:27.308,-84,NaN
1.0,1.0,1.0,2,64175769546245,2017-11-03T15:24:27.477,-70,NaN
1.0,1.0,1.0,2,64176763769995,2017-11-03T15:24:28.471,-70,NaN
1.0,1.0,1.0,2,64177448901505,2017-11-03T15:24:29.156,-68,NaN
1.0,1.0,1.0,2,64177761919942,2017-11-03T15:24:29.469,-70,NaN
1.0,1.0,1.0,2,64178257364213,2017-11-03T15:24:29.965,-68,NaN
1.0,1.0,1.0,2,64178577187702,2017-11-03T15:24:30.285,-68,NaN
1.0,1.0,1.0,2,64178903436452,2017-11-03T15:24:30.611,-68,NaN
1.0,1.0,1.0,2,64179576823535,2017-11-03T15:24:31.284,-67,NaN
1.0,1.0,1.0,2,64179885242858,2017-11-03T15:24:31.593,-67,NaN
1.0,1.0,1.0,2,64180069659889,2017-11-03T15:24:31.777,-76,NaN
1.0,1.0,1.0,2,64180223510046,2017-11-03T15:24:31.931,-67,NaN
1.0,1.0,1.0,2,64181197335826,2017-11-03T15:24:32.905,-67,NaN
1.0,1.0,1.0,2,64181685206399,2017-11-03T15:24:33.393,-67,NaN
1.0,1.0,1.0,2,64182368593170,2017-11-03T15:24:34.076,-83,NaN
1.0,1.0,1.0,2,64182502184524,2017-11-03T15:24:34.210,-68,NaN
1.0,1.0,1.0,2,64182681768378,2017-11-03T15:24:34.389,-82,NaN
1.0,1.0,1.0,2,64183161253586,2017-11-03T15:24:34.868,-69,NaN
1.0,1.0,1.0,2,64183320463378,2017-11-03T15:24:35.028,-82,NaN
1.0,1.0,1.0,2,64183495387128,2017-11-03T15:24:35.203,-70,NaN
1.0,1.0,1.0,2,64183657594732,2017-11-03T15:24:35.365,-82,NaN
1.0,1.0,1.0,2,64183838414367,2017-11-03T15:24:35.546,-70,NaN
1.0,1.0,1.0,2,64184150896450,2017-11-03T15:24:35.858,-82,NaN
1.0,1.0,1.0,2,64184309453950,2017-11-03T15:24:36.017,-70,NaN
1.0,1.0,1.0,2,64184806736190,2017-11-03T15:24:36.514,-68,NaN
1.0,1.0,1.0,2,64185140869940,2017-11-03T15:24:36.848,-68,NaN
1.0,1.0,1.0,2,64185458668585,2017-11-03T15:24:37.166,-68,NaN
1.0,1.0,1.0,2,64185810224991,2017-11-03T15:24:37.517,-68,NaN
1.0,1.0,1.0,2,64186121628898,2017-11-03T15:24:37.829,-68,NaN
1.0,1.0,1.0,2,64186299881033,2017-11-03T15:24:38.007,-87,NaN
Coor X,Coor Y,Floor,Ref Label,CURRENT TIME NANOSECONDS,CURRENT TIME STRING,24:0A:C4:00:98:A0(ESP-BLE-HELLO)
1.0,1.0,1.0,3,64222109302113,2017-11-03T15:25:13.817,-68
1.0,1.0,1.0,3,64222387137217,2017-11-03T15:25:14.095,-78
1.0,1.0,1.0,3,64225672278362,2017-11-03T15:25:17.380,-77
1.0,1.0,1.0,3,64226993130288,2017-11-03T15:25:18.701,-76
1.0,1.0,1.0,3,64227478795392,2017-11-03T15:25:19.186,-74
1.0,1.0,1.0,3,64227987640548,2017-11-03T15:25:19.695,-75
1.0,1.0,1.0,3,64228626040444,2017-11-03T15:25:20.334,-75
1.0,1.0,1.0,3,64228795303829,2017-11-03T15:25:20.503,-77
1.0,1.0,1.0,3,64230282164089,2017-11-03T15:25:21.989,-75
1.0,1.0,1.0,3,64230449206068,2017-11-03T15:25:22.156,-77
1.0,1.0,1.0,3,64230977348099,2017-11-03T15:25:22.685,-76
1.0,1.0,1.0,3,64231452455755,2017-11-03T15:25:23.160,-78
1.0,1.0,1.0,3,64232112574661,2017-11-03T15:25:23.818,-78
1.0,1.0,1.0,3,64233420183984,2017-11-03T15:25:25.127,-77
1.0,1.0,1.0,3,64233746975754,2017-11-03T15:25:25.454,-76
1.0,1.0,1.0,3,64234744754869,2017-11-03T15:25:26.452,-78
1.0,1.0,1.0,3,64234889268879,2017-11-03T15:25:26.597,-77
1.0,1.0,1.0,3,64235049236796,2017-11-03T15:25:26.757,-78
1.0,1.0,1.0,3,64235700682420,2017-11-03T15:25:27.408,-77
1.0,1.0,1.0,3,64236036045024,2017-11-03T15:25:27.743,-76
1.0,1.0,1.0,3,64237528407315,2017-11-03T15:25:29.236,-77
1.0,1.0,1.0,3,64237688062732,2017-11-03T15:25:29.396,-76
1.0,1.0,1.0,3,64237851360701,2017-11-03T15:25:29.559,-78
1.0,1.0,1.0,3,64238348279294,2017-11-03T15:25:30.056,-79
1.0,1.0,1.0,3,64239169305648,2017-11-03T15:25:30.877,-75
1.0,1.0,1.0,3,64239863423981,2017-11-03T15:25:31.571,-78
1.0,1.0,1.0,3,64240007472783,2017-11-03T15:25:31.715,-75
1.0,1.0,1.0,3,64240326556585,2017-11-03T15:25:32.034,-77
1.0,1.0,1.0,3,64240991715699,2017-11-03T15:25:32.699,-77
1.0,1.0,1.0,3,64241177468460,2017-11-03T15:25:32.885,-75
1.0,1.0,1.0,3,64241321346220,2017-11-03T15:25:33.029,-78
1.0,1.0,1.0,3,64242653799605,2017-11-03T15:25:34.361,-77
1.0,1.0,1.0,3,64242810362157,2017-11-03T15:25:34.518,-74
1.0,1.0,1.0,3,64243312465230,2017-11-03T15:25:35.020,-76
1.0,1.0,1.0,3,64244143589032,2017-11-03T15:25:35.851,-77
1.0,1.0,1.0,3,64244475027365,2017-11-03T15:25:36.183,-76
1.0,1.0,1.0,3,64244972227729,2017-11-03T15:25:36.679,-75
1.0,1.0,1.0,3,64245318646167,2017-11-03T15:25:37.026,-76
1.0,1.0,1.0,3,64245631750229,2017-11-03T15:25:37.339,-76
1.0,1.0,1.0,3,64245831687364,2017-11-03T15:25:37.538,-77
1.0,1.0,1.0,3,64245959366531,2017-11-03T15:25:37.667,-76
1.0,1.0,1.0,3,64246118480020,2017-11-03T15:25:37.826,-77
1.0,1.0,1.0,3,64246954658093,2017-11-03T15:25:38.662,-78
1.0,1.0,1.0,3,64247784911218,2017-11-03T15:25:39.492,-75
1.0,1.0,1.0,3,64247945127624,2017-11-03T15:25:39.652,-78
1.0,1.0,1.0,3,64248598138249,2017-11-03T15:25:40.306,-80
1.0,1.0,1.0,3,64248755395384,2017-11-03T15:25:40.463,-76
1.0,1.0,1.0,3,64248925660488,2017-11-03T15:25:40.633,-79
1.0,1.0,1.0,3,64249089862363,2017-11-03T15:25:40.797,-75
1.0,1.0,1.0,3,64249249135176,2017-11-03T15:25:40.957,-79
1.0,1.0,1.0,3,64250739930019,2017-11-03T15:25:42.447,-77
1.0,1.0,1.0,3,64251545667675,2017-11-03T15:25:43.253,-78
1.0,1.0,1.0,3,64251726012206,2017-11-03T15:25:43.433,-76
1.0,1.0,1.0,3,64253703887934,2017-11-03T15:25:45.411,-76
1.0,1.0,1.0,3,64254201598142,2017-11-03T15:25:45.909,-77
1.0,1.0,1.0,3,64254722310903,2017-11-03T15:25:46.430,-76
1.0,1.0,1.0,3,64254879410278,2017-11-03T15:25:46.587,-76
1.0,1.0,1.0,3,64255028767830,2017-11-03T15:25:46.736,-76
1.0,1.0,1.0,3,64255532845590,2017-11-03T15:25:47.240,-79
1.0,1.0,1.0,3,64256387474652,2017-11-03T15:25:48.092,-78
1.0,1.0,1.0,3,64257846646943,2017-11-03T15:25:49.554,-77
1.0,1.0,1.0,3,64258160541058,2017-11-03T15:25:49.868,-77
